0,1,2,3,4,5,6,7,8,9,10,11,12,label
-382.52496,102.862686,25.768482,3.5842555,-3.2046874,3.2004235,0.2481669,5.1019244,-3.0477195,-1.1321146,-6.997993,5.255588,0.5976163,normal
-579.0066,26.558353,-3.2266877,5.2627783,2.5828176,-3.2517023,1.9980288,-0.73934126,-1.7199744,-0.023738438,-3.7756424,-1.8420287,0.23812364,normal
-480.7126,37.928486,-6.423025,-0.6964253,3.8989108,1.8136231,3.6416914,-2.447748,-3.5212426,-0.6642725,-1.9233779,1.5030657,1.9928595,normal
-776.66956,48.087685,12.038281,25.166119,8.011517,17.52451,0.34794027,19.458517,-0.71032035,13.933363,2.4135058,5.846936,0.09431092,normal
-475.5536,24.518908,2.556638,2.6922395,3.471115,2.0625575,0.5234375,3.149612,-3.7134144,-0.91995585,-1.2237893,-0.19713382,-1.8915781,normal
-701.67114,147.92178,-34.83813,22.578981,9.029719,-27.407814,1.0359309,-5.3976283,-8.000666,11.234334,-6.614014,4.932633,11.200087,normal
-1066.4786,22.237778,-9.389804,0.40920615,-2.0871882,-1.9522841,1.0102597,0.3705771,-0.31571367,0.90652645,-0.057871766,-0.30726624,0.4042498,normal
-402.95062,37.6188,-14.971597,-10.425119,3.393937,6.394033,-12.508321,-1.7278239,-13.259394,-2.0280828,-8.170833,-8.017645,-6.6614776,normal
-362.86902,80.98595,-35.572887,-9.945654,-0.9919461,-15.177403,-2.6332011,-8.945721,-10.091843,-0.17422539,-6.00819,-0.34573218,4.1968265,normal
-456.40842,43.973564,3.405821,4.870263,6.8446636,3.5979903,3.694502,-4.325203,-8.403396,-5.250028,-4.4617834,-1.8028636,-1.6251899,normal
-485.86017,71.41467,-1.541839,-4.5986495,4.3635497,5.8235984,5.9646926,-4.847021,-7.1299243,-3.5726986,-6.8247037,-4.0457487,-2.2571633,normal
-542.4866,40.21656,-11.470859,5.1152387,2.6497877,-8.136983,-0.16620484,-4.3711224,-3.9843702,2.79794,-2.226435,-0.7973858,2.6440766,normal
-469.58664,68.52797,18.069094,3.1666956,-3.8150573,-10.127823,-7.216778,-8.225525,-10.665173,-6.887837,-3.570661,-2.7324798,-3.7393668,normal
-437.17383,71.70929,-13.974894,16.62189,1.9729437,-11.61205,11.476437,-4.160018,-8.408534,2.7713573,-9.173655,-3.9315765,1.7043703,normal
-894.19055,-1.0407128,-8.526171,2.9308872,-6.8857083,2.6797931,-8.535742,4.293089,-7.9796147,1.8654199,-4.0909967,-0.7362938,-2.680368,normal
-444.62604,74.48973,3.6462424,-16.723806,1.1638262,5.9448137,-3.9180405,-6.054102,-5.1395197,-9.867359,-9.467631,-0.6382641,3.112161,normal
-389.46643,50.440678,-14.049899,13.1537895,3.1701906,12.706766,3.2350986,6.0394316,-3.6839921,-5.953239,-8.188992,2.1171095,4.126904,normal
-584.96124,21.145887,-9.580586,-2.3639653,2.7858715,-2.3386977,-0.2371058,-0.9847545,-3.7338243,-1.0825602,-0.7487145,-1.9148103,-0.91912097,normal
-453.24344,15.233612,2.4455194,4.11962,-1.2566441,3.0287757,-0.48486772,1.040229,-4.2532926,-1.5894613,-2.9271882,-0.68024516,-2.2471473,normal
-720.0139,46.22851,15.888388,33.76903,19.478539,25.377542,11.071095,18.151136,7.316423,12.102247,3.4555073,4.508812,3.012759,normal
-577.3502,20.078804,-17.581583,-1.1134355,-1.2278447,-6.4785843,2.7916756,-2.0851657,-4.281208,1.0248054,-2.770788,-2.4894075,-0.4104415,normal
-543.83215,38.356815,-9.681396,-0.42144558,0.4900054,-5.4728785,1.5350281,-2.0519538,-4.838988,-1.5739646,-4.3080425,-1.733989,1.6063793,normal
-490.91312,38.776512,-6.9327445,-3.8106525,17.468111,11.69743,-3.5320578,-1.92476,3.7181,-0.19292152,-3.5316997,-1.3183506,-1.1810752,normal
-368.4502,113.92193,-35.567795,-22.287548,-2.2685688,-7.269748,-0.2765758,-15.35261,-18.579523,-6.230894,-8.561863,-4.580164,-6.0367384,normal
-769.5977,105.04561,-30.138733,27.117619,9.439847,-15.896638,8.216727,-5.3900657,-12.613867,3.9842641,-11.280911,-5.707914,-1.0038974,normal
-496.4769,66.27823,-12.304062,2.4016714,6.652134,-6.508466,-3.5774894,-6.9871483,-4.6388326,-0.6271715,-7.062694,-3.147431,-0.75264263,normal
-521.814,30.399443,-2.0308065,7.0148735,2.7320082,-1.7832205,3.3433127,-1.0598818,-2.0070524,-1.0144683,-3.9255896,-1.0264645,1.0652783,normal
-399.15247,130.96394,-51.690216,12.393561,11.3245125,-12.581922,6.7209454,-16.021883,-14.029157,1.5459193,-9.901933,-4.3496537,-4.458614,normal
-417.592,73.43569,-5.743233,3.0621824,2.3503098,-5.0687456,3.8940828,-4.878547,-7.3729253,-2.44153,-8.579752,-1.6859283,3.8131928,normal
-297.1844,111.67922,-55.324806,-9.934559,-17.966461,-31.928392,-0.5410478,-19.354864,-19.210379,-1.1201429,-17.942152,-5.2404976,4.9381356,normal
-608.32214,25.09341,-0.2951864,3.326561,3.8014715,2.2432888,1.4321767,4.292868,0.17135136,1.0038956,0.5200876,0.97035456,1.7296232,normal
-439.87704,83.01308,-2.875311,4.0751004,9.025317,-5.1842327,-4.5976257,-10.311037,-10.627866,-1.2568947,-4.937778,-6.2543616,0.35315382,normal
-568.2741,26.377068,10.194441,5.1125717,3.7071075,3.0914953,2.884196,1.6022421,1.1646842,-0.6815704,-2.3630629,-0.67223024,-1.1829674,normal
-498.60822,43.34384,27.5257,21.024797,13.299888,11.16259,5.204114,4.495119,0.21585311,1.8926147,-2.2243686,-0.23749936,-2.7502186,normal
-629.05444,12.173076,-5.412642,2.521154,-0.2298214,-3.0961528,2.0959349,-0.99653774,-2.9235873,-1.3195647,-1.6016012,0.017136024,-1.0278877,normal
-391.51395,98.643936,-25.570057,18.272959,13.328915,-13.570973,4.001264,-10.966292,-13.845878,4.2267923,-7.2285967,-8.88552,-1.0103174,normal
-472.59772,55.88391,-15.659726,9.323665,-1.9624159,-5.7950673,9.506202,-11.098411,-12.120305,-3.681954,-10.130307,1.7433473,3.026201,normal
-628.6021,84.5712,12.942671,-14.966316,-8.996137,-9.507223,-16.526188,-15.233427,-8.922436,-4.751881,-2.4511158,-1.0805073,-0.76773375,normal
-427.5143,84.24599,-22.898748,10.2590275,8.465972,-11.40197,8.678277,0.43927145,-8.447982,1.4680549,-4.331359,-3.1834683,1.6200116,normal
-487.29785,78.523384,-11.687619,36.437836,-8.41674,23.702671,-15.466197,25.654902,-17.690195,19.66732,-10.791091,16.039988,-10.686732,normal
-605.71204,12.353543,-3.734203,1.7417732,0.16619334,-1.1561472,2.0406208,-1.3750896,-1.0759588,1.2081374,-0.6508086,0.37614742,0.38760522,normal
-408.7088,74.375656,-28.555368,1.1029004,1.958891,-8.370241,7.9972725,-5.2568517,-10.738131,-4.923785,-8.507408,5.0580454,6.7794228,normal
-684.13434,132.91554,-24.566362,10.765039,8.532172,-8.591747,11.276396,-0.43815735,-8.11188,0.5718301,-4.805593,-2.1191223,2.3799207,normal
-478.44482,143.73569,-10.652244,-12.665449,19.769285,7.350969,-11.84347,4.0292444,-1.3899307,-1.81939,-2.8084354,-0.42860967,-4.171977,normal
-455.46167,128.9689,15.562364,-25.862537,-7.185801,1.2357798,-8.749579,-10.430862,-6.4415684,-6.0793295,-4.703253,-5.084611,-10.821824,normal
-497.10754,49.004467,-16.560379,4.8977823,2.3861997,-6.4513903,4.406499,-3.2774065,-4.735646,-2.8777618,-9.698686,-2.1421137,0.71366274,normal
